date,open,high,low,close,volume,adjClose
2015-04-07,13768.70,13768.70,13768.70,13768.70,000,13768.70
2015-03-30,13193.30,13494.60,13160.70,13494.60,000,13494.60
2015-03-23,12780.30,12874.40,12713.00,12874.40,000,12874.40
2015-03-16,12017.80,12544.50,12017.80,12544.50,000,12544.50
2015-03-09,11533.20,11713.60,11525.10,11713.60,000,11713.60
2015-03-02,11884.00,11884.00,11392.40,11392.40,000,11392.40
2015-02-16,11595.30,11757.70,11539.70,11757.70,000,11757.70
2015-02-09,10868.10,11443.10,10868.10,11443.10,000,11443.10
2015-02-02,10963.10,11209.20,10791.10,10791.10,000,10791.10
2015-01-26,11687.00,11687.00,11150.70,11150.70,000,11150.70
2015-01-19,10770.90,11471.20,10770.90,11436.30,000,11436.30
2015-01-12,11285.20,11532.80,11237.80,11532.80,000,11532.80
2015-01-05,11520.60,11668.00,11324.80,11324.80,000,11324.80
2014-12-29,10780.40,11014.60,10722.30,11014.60,000,11014.60
2014-12-22,10608.50,10802.60,10292.50,10802.60,000,10802.60
2014-12-15,10504.20,10786.70,10504.20,10627.10,000,10627.10
2014-12-08,10554.60,10554.60,10116.50,10462.30,000,10462.30
2014-12-01,9095.76,10067.30,9095.76,10067.30,000,10067.30
2014-11-24,8577.91,9002.23,8577.91,9002.23,000,9002.23
2014-11-17,8283.80,8332.30,8196.59,8332.30,000,8332.30
2014-11-10,8410.22,8410.29,8305.08,8326.90,000,8326.90
2014-11-03,8240.15,8240.15,8198.57,8234.87,000,8234.87
2014-10-27,7829.33,8225.61,7829.33,8225.61,000,8225.61
2014-10-20,8204.20,8204.20,7921.13,7921.13,000,7921.13
2014-10-13,8164.07,8198.12,8110.69,8151.52,000,8151.52
2014-09-29,8082.85,8211.54,8080.35,8211.54,000,8211.54
2014-09-22,7895.87,8100.22,7895.87,8072.88,000,8072.88
2014-09-15,8112.65,8112.65,7921.07,8047.25,000,8047.25
2014-09-09,8201.51,8201.51,8117.92,8146.99,000,8146.99
2014-09-01,7941.16,8214.53,7941.16,8214.53,000,8214.53
2014-08-25,7934.81,7934.81,7743.54,7841.70,000,7841.70
2014-08-18,8045.86,8059.40,8010.71,8059.40,000,8059.40
2014-08-11,8009.73,8009.73,7893.90,7982.07,000,7982.07
2014-08-04,8006.91,8007.76,7872.95,7885.33,000,7885.33
2014-07-28,7808.66,7956.91,7808.66,7880.98,000,7880.98
2014-07-21,7274.50,7578.12,7274.50,7578.12,000,7578.12
2014-07-14,7278.86,7304.41,7194.74,7259.45,000,7259.45
2014-07-07,7321.52,7358.33,7159.63,7206.97,000,7206.97
2014-06-30,7343.27,7343.27,7297.50,7333.91,000,7333.91
2014-06-23,7192.87,7312.62,7192.87,7312.62,000,7312.62
2014-06-16,7416.99,7416.99,7180.32,7195.69,000,7195.69
2014-06-09,7227.24,7401.35,7227.24,7401.35,000,7401.35
2014-06-03,7321.52,7321.52,7223.13,7235.39,000,7235.39
2014-05-26,7275.11,7380.69,7260.12,7364.83,000,7364.83
2014-05-19,7151.49,7240.92,7151.18,7240.92,000,7240.92
2014-05-12,7318.14,7325.52,7213.77,7242.17,000,7242.17
2014-05-05,7309.56,7311.89,7162.44,7162.44,000,7162.44
2014-04-28,7240.46,7339.86,7240.46,7312.86,000,7312.86
2014-04-21,7353.60,7434.73,7323.65,7323.65,000,7323.65
2014-04-14,7583.28,7583.28,7449.71,7455.74,000,7455.74
2014-04-08,7508.66,7586.83,7508.66,7586.83,000,7586.83
2014-03-31,7189.58,7367.80,7189.58,7367.80,000,7367.80
2014-03-24,7273.76,7273.76,7165.57,7165.57,000,7165.57
2014-03-17,7340.62,7340.62,6998.19,7241.57,000,7241.57
2014-03-10,7118.44,7319.29,7118.44,7239.06,000,7239.06
2014-03-03,7391.91,7391.91,7298.13,7328.48,000,7328.48
2014-02-24,7542.53,7542.53,7188.74,7365.92,000,7365.92
2014-02-17,7943.96,7953.94,7750.56,7750.56,000,7750.56
2014-02-10,7812.16,7902.08,7812.16,7883.75,000,7883.75
2014-01-27,7752.54,7752.54,7572.63,7616.57,000,7616.57
2014-01-20,7524.33,7855.14,7524.33,7855.14,000,7855.14
2014-01-13,7572.56,7668.80,7544.56,7544.56,000,7544.56
2014-01-06,7818.46,7818.46,7648.04,7648.04,000,7648.04
2013-12-30,7999.30,8121.79,7999.30,8028.33,000,8028.33
2013-12-23,7989.51,8096.37,7897.33,8048.85,000,8048.85
2013-12-16,8272.67,8272.67,7966.72,7966.72,000,7966.72
2013-12-09,8519.67,8554.17,8400.65,8429.82,000,8429.82
2013-12-02,8376.64,8600.82,8376.64,8526.68,000,8526.68
2013-11-25,8379.55,8548.37,8365.35,8542.61,000,8542.61
2013-11-18,8523.75,8523.75,8413.34,8413.34,000,8413.34
2013-11-11,8168.67,8305.91,8111.00,8305.91,000,8305.91
2013-11-04,8416.93,8451.73,8155.40,8155.40,000,8155.40
2013-10-28,8336.68,8553.37,8336.68,8451.72,000,8451.72
2013-10-21,8739.52,8739.52,8379.61,8379.61,000,8379.61
2013-10-14,8760.10,8760.10,8521.20,8584.87,000,8584.87
2013-09-30,8514.57,8737.97,8514.57,8737.97,000,8737.97
2013-09-23,8719.29,8719.29,8439.47,8472.29,000,8472.29
2013-09-16,8659.00,8659.00,8480.74,8480.74,000,8480.74
2013-09-09,8504.74,8714.88,8504.74,8687.54,000,8687.54
2013-09-02,8243.58,8368.04,8243.58,8280.33,000,8280.33
2013-08-26,8334.57,8341.77,8202.48,8202.48,000,8202.48
2013-08-19,8285.72,8285.72,8166.28,8166.28,000,8166.28
2013-08-12,8356.73,8362.65,8168.09,8168.09,000,8168.09
2013-08-05,8060.39,8145.97,8060.39,8145.97,000,8145.97
2013-07-29,7668.54,7961.47,7668.54,7961.47,000,7961.47
2013-07-22,7684.23,7963.70,7684.23,7843.36,000,7843.36
2013-07-15,8137.77,8186.68,7663.99,7663.99,000,7663.99
2013-07-08,7637.63,8184.77,7600.47,8012.84,000,8012.84
2013-07-01,7718.48,7856.59,7703.74,7856.59,000,7856.59
2013-06-24,7588.52,7694.47,7495.10,7694.47,000,7694.47
2013-06-17,8404.50,8470.87,8136.05,8136.05,000,8136.05
2013-06-13,8432.42,8479.46,8432.42,8479.46,000,8479.46
2013-06-03,9251.24,9251.24,8763.61,8763.61,000,8763.61
2013-05-27,9260.63,9441.69,9257.95,9257.95,000,9257.95
2013-05-20,9307.15,9405.06,9265.68,9304.86,000,9304.86
2013-05-13,9014.28,9246.28,8809.08,9246.28,000,9246.28
2013-05-06,8997.08,9074.84,8997.08,9071.16,000,9071.16
2013-05-02,8718.20,8847.67,8718.20,8847.67,000,8847.67
2013-04-22,9057.62,9057.62,8691.39,8691.39,000,8691.39
2013-04-15,8733.44,9111.19,8733.44,9111.19,000,9111.19
2013-04-08,8953.84,8993.11,8835.15,8835.15,000,8835.15
2013-04-01,8937.75,8964.47,8937.75,8964.47,000,8964.47
2013-03-25,9313.13,9313.13,8889.77,8889.77,000,8889.77
2013-03-18,8999.02,9343.41,8999.02,9343.41,000,9343.41
2013-03-11,9277.16,9277.16,9073.22,9099.29,000,9099.29
2013-03-04,9139.75,9431.17,9139.75,9285.83,000,9285.83
2013-02-25,9342.37,9650.14,9208.03,9650.14,000,9650.14
2013-02-18,9795.91,9795.91,9364.54,9364.54,000,9364.54
2013-02-04,9760.83,9989.09,9760.83,9989.09,000,9989.09
2013-01-28,9618.92,9820.29,9618.92,9820.29,000,9820.29
2013-01-21,9562.85,9562.85,9357.13,9357.13,000,9357.13
2013-01-14,9316.27,9432.29,9309.23,9432.29,000,9432.29
2013-01-07,9108.46,9170.05,9017.73,9017.73,000,9017.73
2012-12-31,9116.48,9116.48,9096.07,9096.07,000,9096.07
2012-12-24,8631.37,9026.99,8631.37,9026.99,000,9026.99
2012-12-17,8600.33,8693.23,8592.63,8658.35,000,8658.35
2012-12-10,8265.79,8530.90,8171.35,8530.90,000,8530.90
2012-12-03,7710.88,8189.68,7710.88,8189.68,000,8189.68
2012-11-26,8016.07,8016.07,7808.96,7903.25,000,7903.25
2012-11-07,9108.46,9170.05,9017.73,9017.73,000,9017.73